file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-random/1-random/r001.dimacs;10;22;0.01;93;8;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r003.dimacs;10;13;0.00;66;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r005.dimacs;10;22;0.01;62;10;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r007.dimacs;10;17;0.01;98;11;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r009.dimacs;10;22;0.02;93;8;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r011.dimacs;10;13;0.00;66;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r013.dimacs;10;22;0.01;62;10;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r015.dimacs;10;17;0.01;98;11;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r017.dimacs;10;22;0.01;93;8;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r019.dimacs;10;13;0.00;66;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r021.dimacs;10;22;0.01;62;10;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r023.dimacs;10;17;0.01;98;11;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r025.dimacs;10;20;0.01;85;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r027.dimacs;10;20;0.00;85;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r029.dimacs;10;20;0.01;85;6;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r031.dimacs;20;159;91.46;367;31;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r033.dimacs;20;162;12.41;280;28;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r035.dimacs;20;165;4.99;243;25;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r037.dimacs;20;159;90.95;367;31;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r039.dimacs;20;162;12.36;280;28;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r041.dimacs;20;116;2.37;233;25;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r043.dimacs;20;72;258.69;336;32;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r045.dimacs;20;108;36.36;359;26;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r047.dimacs;20;104;22.21;322;25;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r049.dimacs;20;66;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r051.dimacs;20;114;554.55;411;29;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r053.dimacs;20;114;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r055.dimacs;20;116;2.37;233;25;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r057.dimacs;20;72;262.49;336;32;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r059.dimacs;20;108;36.72;359;26;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r061.dimacs;30;231;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r063.dimacs;30;141;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r065.dimacs;30;223;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r067.dimacs;30;159;;;;0;
/home/users/j/j.koeppeler/wce-students-random/1-random/r069.dimacs;30;197;;;;0;
