file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w001.dimacs;4;3;0.00;0;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w003.dimacs;6;8;0.00;21;4;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w005.dimacs;16;118;0.00;4;2;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w007.dimacs;16;107;0.00;7;2;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w009.dimacs;13;77;0.00;8;1;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w011.dimacs;14;88;0.00;10;3;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w013.dimacs;15;48;0.00;14;5;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w015.dimacs;10;14;0.00;16;4;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w017.dimacs;14;60;0.00;20;4;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w019.dimacs;16;112;0.00;22;8;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w021.dimacs;11;22;0.00;24;6;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w023.dimacs;16;39;0.03;80;12;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w025.dimacs;16;95;0.02;84;14;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w027.dimacs;16;84;0.06;88;27;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w029.dimacs;16;68;0.05;92;6;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w031.dimacs;13;75;0.23;102;3;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w033.dimacs;16;48;0.45;105;20;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w035.dimacs;16;45;0.41;122;14;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w037.dimacs;15;45;3.61;140;29;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w039.dimacs;18;139;0.00;7;3;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w041.dimacs;17;40;0.00;16;8;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w043.dimacs;16;92;0.00;21;11;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w045.dimacs;15;86;0.00;27;7;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w047.dimacs;15;81;0.00;38;12;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w049.dimacs;18;143;0.03;46;10;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w051.dimacs;17;115;0.01;53;10;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w053.dimacs;15;82;0.04;56;13;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w055.dimacs;43;268;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w057.dimacs;44;893;39.12;216;14;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w059.dimacs;44;784;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w061.dimacs;44;634;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w063.dimacs;44;759;2.85;280;15;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w065.dimacs;44;304;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w067.dimacs;44;554;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w069.dimacs;44;910;0.88;153;7;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w071.dimacs;45;313;185.67;226;30;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w073.dimacs;45;926;7.03;158;22;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w075.dimacs;45;438;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w077.dimacs;45;635;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w079.dimacs;42;470;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w081.dimacs;45;833;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w083.dimacs;45;811;;;;0;
