file,vertices,edges,time,solsize,recsteps,finished,verified
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w001.dimacs,4,3,0,0,1,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w003.dimacs,6,8,0,21,108,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w005.dimacs,16,118,0,4,24,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w007.dimacs,16,107,0,7,38,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w009.dimacs,13,77,0,8,28,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w011.dimacs,14,88,0,10,53,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w013.dimacs,15,48,0,14,98,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w015.dimacs,10,14,0,16,129,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w017.dimacs,14,60,0,20,114,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w019.dimacs,16,112,0,22,333,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w021.dimacs,11,22,0,24,273,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w023.dimacs,16,39,0.01,80,5768,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w025.dimacs,16,95,0.01,84,2194,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w027.dimacs,16,84,0.02,88,2443,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w029.dimacs,16,68,0.02,92,7521,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w031.dimacs,13,75,0.1,102,23814,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w033.dimacs,16,48,0.19,105,41437,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w035.dimacs,16,45,0.17,122,67579,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w037.dimacs,15,45,1.44,140,460409,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w039.dimacs,18,139,0,7,37,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w041.dimacs,17,40,0,16,726,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w043.dimacs,16,92,0,21,298,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w045.dimacs,15,86,0,27,219,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w047.dimacs,15,81,0,38,515,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w049.dimacs,18,143,0.01,46,1853,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w051.dimacs,17,115,0,53,711,1,correct
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w053.dimacs,15,82,0.01,56,1639,1,correct
