file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-action/actionseq/a001.dimacs;10;8;0.08;41;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a003.dimacs;10;7;0.03;142;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a005.dimacs;10;14;0.02;229;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a007.dimacs;10;3;0.00;0;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a009.dimacs;10;3;0.01;28;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a011.dimacs;20;8;0.01;24;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a013.dimacs;20;20;0.01;204;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a015.dimacs;20;15;0.01;259;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a017.dimacs;20;23;0.04;328;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a019.dimacs;20;10;0.01;252;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a021.dimacs;50;68;0.46;1366;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a023.dimacs;50;97;1.04;2523;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a025.dimacs;50;170;9.12;4824;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a027.dimacs;75;200;7.58;4539;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a029.dimacs;75;262;46.00;7292;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a031.dimacs;100;390;73.78;10344;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a033.dimacs;100;371;99.03;9937;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a035.dimacs;100;335;80.55;8921;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a037.dimacs;100;375;168.80;10313;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a039.dimacs;100;372;238.52;11026;;1;correct;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a041.dimacs;100;418;;;;0;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a043.dimacs;150;857;;;;0;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a045.dimacs;150;1469;;;;0;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a047.dimacs;150;848;;;;0;
/home/users/j/j.koeppeler/wce-students-action/actionseq/a049.dimacs;150;1395;;;;0;
