file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w001.dimacs;4;3;0.05;0;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w003.dimacs;6;8;0.01;21;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w005.dimacs;16;118;0.00;4;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w007.dimacs;16;107;0.01;7;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w009.dimacs;13;77;0.02;8;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w011.dimacs;14;88;0.02;10;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w013.dimacs;15;48;0.03;14;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w015.dimacs;10;14;0.01;16;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w017.dimacs;14;60;0.02;20;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w019.dimacs;16;112;0.02;22;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w021.dimacs;11;22;0.01;24;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w023.dimacs;16;39;0.03;80;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w025.dimacs;16;95;0.03;84;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w027.dimacs;16;84;0.02;88;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w029.dimacs;16;68;0.02;92;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w031.dimacs;13;75;0.02;102;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w033.dimacs;16;48;0.02;105;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w035.dimacs;16;45;0.02;122;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w037.dimacs;15;45;0.03;140;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w039.dimacs;18;139;0.01;7;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w041.dimacs;17;40;0.02;16;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w043.dimacs;16;92;0.01;21;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w045.dimacs;15;86;0.03;27;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w047.dimacs;15;81;0.02;38;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w049.dimacs;18;143;0.03;46;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w051.dimacs;17;115;0.03;53;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w053.dimacs;15;82;0.03;56;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w055.dimacs;43;268;0.34;1064;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w057.dimacs;44;893;0.37;216;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w059.dimacs;44;784;0.49;1196;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w061.dimacs;44;634;0.66;1463;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w063.dimacs;44;759;0.40;280;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w065.dimacs;44;304;0.23;345;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w067.dimacs;44;554;0.42;787;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w069.dimacs;44;910;0.37;153;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w071.dimacs;45;313;0.38;226;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w073.dimacs;45;926;0.40;158;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w075.dimacs;45;438;0.39;774;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w077.dimacs;45;635;0.61;1321;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w079.dimacs;42;470;0.87;1461;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w081.dimacs;45;833;0.48;840;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w083.dimacs;45;811;0.43;774;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w085.dimacs;45;782;0.47;1031;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w087.dimacs;46;927;0.41;343;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w089.dimacs;49;515;4.72;1739;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w091.dimacs;64;902;1.48;1760;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w093.dimacs;62;1785;1.06;645;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w095.dimacs;64;1632;1.83;1801;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w097.dimacs;60;805;3.99;3313;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w099.dimacs;65;2023;1.23;428;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w101.dimacs;65;1254;3.09;3157;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w103.dimacs;62;1166;2.76;2031;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w105.dimacs;65;1441;2.47;2820;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w107.dimacs;57;917;3.61;2828;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w109.dimacs;77;618;2.43;1470;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w111.dimacs;78;1837;5.84;4685;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w113.dimacs;79;861;3.23;1808;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w115.dimacs;80;2387;2.43;772;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w117.dimacs;81;531;0.51;485;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w119.dimacs;82;1278;3.00;2056;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w121.dimacs;119;2717;5.69;3546;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w123.dimacs;119;2029;22.72;6514;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w125.dimacs;128;4088;3.72;2008;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w127.dimacs;123;2155;28.53;5045;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w129.dimacs;130;7692;10.53;1399;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w131.dimacs;137;1525;67.23;6072;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w133.dimacs;127;1443;27.38;4371;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w135.dimacs;108;2811;38.20;11024;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w137.dimacs;146;3495;15.41;1784;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w139.dimacs;154;5117;36.85;7945;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w141.dimacs;152;3960;36.96;8857;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w143.dimacs;159;1751;26.54;7115;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w145.dimacs;160;1673;37.27;4983;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w147.dimacs;163;1322;91.89;4414;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w149.dimacs;202;10730;78.97;416;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w151.dimacs;216;7190;201.37;20734;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w153.dimacs;204;938;256.40;3165;;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w155.dimacs;126;1469;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w157.dimacs;449;8631;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w159.dimacs;551;18828;Command terminated by signal 6 102.84;;;1;verifier.py: ;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w161.dimacs;276;5142;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w163.dimacs;361;18009;;;;0;
