file;vertices;edges;time;solsize;recsteps;finished;verified
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r001.dimacs;10;22;1.64;93;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r003.dimacs;10;13;0.02;66;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r005.dimacs;10;22;0.15;62;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r007.dimacs;10;17;0.01;98;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r009.dimacs;10;22;0.01;93;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r011.dimacs;10;13;0.00;66;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r013.dimacs;10;22;0.01;62;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r015.dimacs;10;17;0.01;98;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r017.dimacs;10;22;0.01;93;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r019.dimacs;10;13;0.00;66;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r021.dimacs;10;22;0.01;62;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r023.dimacs;10;17;0.01;98;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r025.dimacs;10;20;0.00;85;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r027.dimacs;10;20;0.00;85;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r029.dimacs;10;20;0.00;85;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r031.dimacs;20;159;0.26;367;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r033.dimacs;20;162;0.20;280;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r035.dimacs;20;165;0.01;243;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r037.dimacs;20;159;0.21;367;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r039.dimacs;20;162;0.21;280;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r041.dimacs;20;116;0.05;233;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r043.dimacs;20;72;0.22;336;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r045.dimacs;20;108;0.06;359;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r047.dimacs;20;104;0.13;322;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r049.dimacs;20;66;0.15;469;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r051.dimacs;20;114;0.06;411;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r053.dimacs;20;114;0.20;440;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r055.dimacs;20;116;0.05;233;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r057.dimacs;20;72;0.18;336;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r059.dimacs;20;108;0.04;359;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r061.dimacs;30;231;0.32;699;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r063.dimacs;30;141;0.30;851;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r065.dimacs;30;223;0.32;1019;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r067.dimacs;30;159;0.39;933;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r069.dimacs;30;197;0.37;793;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r071.dimacs;30;165;0.38;893;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r073.dimacs;30;165;0.32;893;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r075.dimacs;30;150;0.36;707;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r077.dimacs;30;163;0.34;889;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r079.dimacs;30;163;0.23;889;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r081.dimacs;40;440;0.69;1398;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r083.dimacs;40;302;0.71;1741;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r085.dimacs;40;291;0.72;1589;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r087.dimacs;40;421;0.72;1631;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r089.dimacs;40;346;0.68;1408;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r091.dimacs;40;276;0.67;1380;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r093.dimacs;40;533;0.80;1644;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r095.dimacs;40;377;0.71;1488;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r097.dimacs;50;747;1.58;2181;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r099.dimacs;50;439;1.43;1945;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r101.dimacs;50;439;1.45;1945;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r103.dimacs;50;405;1.51;1985;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r105.dimacs;50;513;1.48;2114;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r107.dimacs;50;513;1.45;2114;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r109.dimacs;50;469;1.56;2400;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r111.dimacs;50;469;1.52;2400;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r113.dimacs;50;606;1.57;2161;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r115.dimacs;60;1244;4.23;3485;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r117.dimacs;60;516;3.30;3243;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r119.dimacs;60;534;3.34;3320;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r121.dimacs;60;943;3.79;2993;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r123.dimacs;60;854;4.10;3608;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r125.dimacs;70;1481;9.01;4253;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r127.dimacs;70;1433;9.19;4128;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r129.dimacs;70;909;7.80;4352;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r131.dimacs;80;2084;17.54;6988;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r133.dimacs;80;1629;16.87;5673;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r135.dimacs;80;1137;14.63;5467;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-random/1-random/r137.dimacs;80;1619;16.66;5566;;1;correct;
