file;vertices;edges;time;solsize;recsteps;finished;verified
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w001.dimacs;4;3;0.02;0;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w003.dimacs;6;8;0.00;21;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w005.dimacs;16;118;0.00;4;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w007.dimacs;16;107;0.00;7;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w009.dimacs;13;77;0.00;8;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w011.dimacs;14;88;0.00;10;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w013.dimacs;15;48;0.00;14;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w015.dimacs;10;14;0.00;16;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w017.dimacs;14;60;0.00;20;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w019.dimacs;16;112;0.00;22;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w021.dimacs;11;22;0.00;24;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w023.dimacs;16;39;0.00;80;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w025.dimacs;16;95;0.01;84;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w027.dimacs;16;84;0.00;88;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w029.dimacs;16;68;0.00;92;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w031.dimacs;13;75;0.01;102;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w033.dimacs;16;48;0.00;105;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w035.dimacs;16;45;0.02;122;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w037.dimacs;15;45;0.02;140;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w039.dimacs;18;139;0.00;7;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w041.dimacs;17;40;0.00;16;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w043.dimacs;16;92;0.00;21;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w045.dimacs;15;86;0.00;27;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w047.dimacs;15;81;0.00;38;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w049.dimacs;18;143;0.00;46;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w051.dimacs;17;115;0.00;53;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w053.dimacs;15;82;0.00;56;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w055.dimacs;43;268;0.71;1064;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w057.dimacs;44;893;0.02;216;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w059.dimacs;44;784;1.20;1196;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w061.dimacs;44;634;1.22;1463;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w063.dimacs;44;759;0.03;280;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w065.dimacs;44;304;0.04;345;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w067.dimacs;44;554;1.03;787;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w069.dimacs;44;910;0.02;153;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w071.dimacs;45;313;0.85;226;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w073.dimacs;45;926;0.03;158;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w075.dimacs;45;438;0.89;774;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w077.dimacs;45;635;1.27;1321;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w079.dimacs;42;470;2.01;1461;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w081.dimacs;45;833;2.61;840;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w083.dimacs;45;811;1.52;774;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w085.dimacs;45;782;1.30;1031;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w087.dimacs;46;927;1.41;343;;1;correct;
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-real/2-real-world/w089.dimacs;49;515;8.36;1739;;1;correct;
