file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-random/1-random/r001.dimacs;10;22;0.40;93;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r003.dimacs;10;13;0.07;66;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r005.dimacs;10;22;0.05;62;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r007.dimacs;10;17;0.05;98;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r009.dimacs;10;22;0.04;93;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r011.dimacs;10;13;0.05;66;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r013.dimacs;10;22;0.04;62;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r015.dimacs;10;17;0.05;98;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r017.dimacs;10;22;0.04;93;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r019.dimacs;10;13;0.05;66;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r021.dimacs;10;22;0.03;62;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r023.dimacs;10;17;0.06;98;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r025.dimacs;10;20;0.06;85;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r027.dimacs;10;20;0.06;85;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r029.dimacs;10;20;0.07;85;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r031.dimacs;20;159;0.03;367;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r033.dimacs;20;162;0.02;280;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r035.dimacs;20;165;0.03;243;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r037.dimacs;20;159;0.03;367;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r039.dimacs;20;162;0.03;280;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r041.dimacs;20;116;0.05;233;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r043.dimacs;20;72;0.10;336;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r045.dimacs;20;108;0.05;359;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r047.dimacs;20;104;0.08;322;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r049.dimacs;20;66;0.13;469;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r051.dimacs;20;114;0.04;411;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r053.dimacs;20;114;0.07;440;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r055.dimacs;20;116;0.07;233;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r057.dimacs;20;72;0.10;336;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r059.dimacs;20;108;0.05;359;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r061.dimacs;30;231;0.15;699;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r063.dimacs;30;141;0.22;851;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r065.dimacs;30;223;0.16;1019;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r067.dimacs;30;159;0.24;933;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r069.dimacs;30;197;0.21;793;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r071.dimacs;30;165;0.22;893;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r073.dimacs;30;165;0.20;893;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r075.dimacs;30;150;0.23;707;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r077.dimacs;30;163;0.23;889;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r079.dimacs;30;163;0.23;889;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r081.dimacs;40;440;0.35;1398;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r083.dimacs;40;302;0.42;1741;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r085.dimacs;40;291;0.49;1589;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r087.dimacs;40;421;0.35;1631;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r089.dimacs;40;346;0.30;1408;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r091.dimacs;40;276;0.38;1380;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r093.dimacs;40;533;0.31;1644;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r095.dimacs;40;377;0.38;1488;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r097.dimacs;50;747;0.38;2181;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r099.dimacs;50;439;0.65;1945;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r101.dimacs;50;439;0.73;1945;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r103.dimacs;50;405;0.72;1985;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r105.dimacs;50;513;0.57;2114;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r107.dimacs;50;513;0.57;2114;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r109.dimacs;50;469;0.61;2400;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r111.dimacs;50;469;0.63;2400;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r113.dimacs;50;606;0.57;2161;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r115.dimacs;60;1244;0.66;3485;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r117.dimacs;60;516;1.27;3243;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r119.dimacs;60;534;1.00;3320;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r121.dimacs;60;943;0.78;2993;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r123.dimacs;60;854;1.00;3608;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r125.dimacs;70;1481;1.16;4253;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r127.dimacs;70;1433;1.09;4128;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r129.dimacs;70;909;41.90;4352;48;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r131.dimacs;80;2084;8.67;6988;1;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r133.dimacs;80;1629;1.80;5673;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r135.dimacs;80;1137;2.53;5467;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r137.dimacs;80;1619;1.78;5566;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r139.dimacs;90;1760;2.95;7229;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r141.dimacs;90;1384;2.94;7305;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r143.dimacs;90;2515;3.31;7208;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r145.dimacs;90;2970;3.04;7366;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r147.dimacs;100;3157;3.32;8928;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r149.dimacs;100;1708;18.13;8291;2;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r151.dimacs;100;1708;18.16;8291;2;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r153.dimacs;100;2624;4.89;9106;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r155.dimacs;100;2067;3.70;8086;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r157.dimacs;100;2067;3.71;8086;0;1;correct;
/home/users/j/j.koeppeler/wce-students-random/1-random/r159.dimacs;100;2944;4.67;8885;0;1;correct;
