file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w001.dimacs;4;3;0.02;0;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w003.dimacs;6;8;0.01;21;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w005.dimacs;16;118;0.01;4;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w007.dimacs;16;107;0.02;7;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w009.dimacs;13;77;0.01;8;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w011.dimacs;14;88;0.01;10;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w013.dimacs;15;48;0.06;14;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w015.dimacs;10;14;0.04;16;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w017.dimacs;14;60;0.04;20;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w019.dimacs;16;112;0.01;22;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w021.dimacs;11;22;0.03;24;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w023.dimacs;16;39;0.09;80;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w025.dimacs;16;95;0.02;84;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w027.dimacs;16;84;0.03;88;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w029.dimacs;16;68;0.02;92;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w031.dimacs;13;75;0.01;102;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w033.dimacs;16;48;0.06;105;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w035.dimacs;16;45;0.06;122;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w037.dimacs;15;45;0.07;140;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w039.dimacs;18;139;0.01;7;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w041.dimacs;17;40;0.05;16;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w043.dimacs;16;92;0.02;21;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w045.dimacs;15;86;0.02;27;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w047.dimacs;15;81;0.04;38;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w049.dimacs;18;143;0.01;46;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w051.dimacs;17;115;0.03;53;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w053.dimacs;15;82;0.03;56;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w055.dimacs;43;268;0.49;1064;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w057.dimacs;44;893;0.19;216;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w059.dimacs;44;784;0.34;1196;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w061.dimacs;44;634;0.55;1463;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w063.dimacs;44;759;0.07;280;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w065.dimacs;44;304;0.21;345;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w067.dimacs;44;554;0.36;787;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w069.dimacs;44;910;0.02;153;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w071.dimacs;45;313;0.35;226;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w073.dimacs;45;926;0.23;158;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w075.dimacs;45;438;0.36;774;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w077.dimacs;45;635;0.39;1321;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w079.dimacs;42;470;4.29;1461;9;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w081.dimacs;45;833;0.27;840;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w083.dimacs;45;811;0.27;774;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w085.dimacs;45;782;0.27;1031;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w087.dimacs;46;927;0.20;343;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w089.dimacs;49;515;67.08;1739;250;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w091.dimacs;64;902;0.97;1760;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w093.dimacs;62;1785;0.49;645;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w095.dimacs;64;1632;0.76;1801;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w097.dimacs;60;805;31.32;3313;4;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w099.dimacs;65;2023;0.68;428;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w101.dimacs;65;1254;1.72;3157;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w103.dimacs;62;1166;32.22;2031;35;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w105.dimacs;65;1441;2.94;2820;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w107.dimacs;57;917;29.66;2828;7;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w109.dimacs;77;618;1.84;1470;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w111.dimacs;78;1837;144.20;4685;79;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w113.dimacs;79;861;2.12;1808;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w115.dimacs;80;2387;1.45;772;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w117.dimacs;81;531;2.66;485;24;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w119.dimacs;82;1278;1.94;2056;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w121.dimacs;119;2717;9.34;3546;1;1;correct;
